id,title,severity,immediate,ongoing,art_notes
P3_LONG_NIGHT,The Long Night Begins,4,All players lose 2 Sanity. Doom +1.,Until next Dawn: Day Phase has only 2 actions per player.,A sun that won't rise
P3_EYE_NEAR,An Eye Watches the Sky,4,Pre-warning. The Eye of Terror boss arrives next Dawn at a random house tile.,,A single floating eye over rooftops
P3_EYE_ARRIVES,The Eye of Terror Arrives,5,Place the Eye of Terror at a random house tile.,While Eye is on the map: Each Dawn, draw 1 extra Threat at its location. It festers Doom +2 each Dawn.,Giant fleshy eye with antennae fronds
P3_EYE_SPLITS,The Eye Splits,5,The Eye of Terror splits into 3 Terror Beak Threats placed at adjacent tiles.,Eye is removed from the map.,Eye fracturing into bird-things
P3_HUNGER_PANG,Hunger Pangs,3,All players lose 2 Hunger.,,Stomach rumble in a dark room
P3_SCREAMS,Screams Down the Street,3,Each player loses 1 Sanity. The player with the lowest Sanity loses 2 more.,,Open mouth shapes against blank windows
P3_POWER_OUT,Power Goes Out Citywide,3,All Battery tokens in resource bags are returned to the supply.,Until next Dawn: Charlie checks affect every location.,Streetlights all dark at once
P3_FRIEND_CHANGED,Your Friend Looks Wrong,3,The player to your left loses 2 Sanity and reveals one Item from their hand.,,A face that's almost right
P3_TRUTH_GLIMPSE,A Glimpse of the Truth,3,Reveal a Clue card from the Market deck (search through it). Place it face-up.,If found: it cannot be claimed until Day 6.,Old book with glowing pages
P3_LULL,The Calm Before,2,No effect.,Until next Dawn: All Charlie checks are paused — gather while you can.,Eerie still air with leaves frozen mid-fall
P3_GRAVITY_WRONG,Gravity Feels Wrong,3,All players lose 1 Health. Movement costs +1 action this day.,Until next Dawn: Rest restores no Health.,Furniture hanging from the ceiling of a suburban room
P3_TIME_SKIP,You Lost a Day,4,Day counter advances by 1 (skip a day). Doom +1. All players lose 1 Hunger.,,A calendar with a page torn out
P3_WALLS_CLOSE,The Walls Are Closer,3,Each house tile loses 1 character capacity (max 4 instead of 5). Excess players must move at Dawn.,Until next Dawn: houses feel smaller.,A hallway that narrows into nothing
P3_ALLY_MISSING,One of You Was Gone This Morning,3,The player with the fewest items loses all items in hand. They reappear at a random tile.,Until next Dawn: that player gets +1 action (adrenaline).,An empty sleeping bag and a trail of footprints
P3_OFFERING,An Offering at the Door,3,Choose: sacrifice 3 Food to reduce Doom by 2 OR ignore it and all players lose 1 Sanity.,,A circle of salt and bone fragments on a welcome mat
P3_HUNTS_THE_HERD,It Hunts the Herd,3,Each character at the most-populated location loses 1 Sanity.,Tonight the most-populated location draws +1 Threat.,A single enormous eye counting small figures huddled around a kitchen table
